city,grnd_level,humidity,pressure,sea_level,temp,temp_max,temp_min,deg,gust,speed,lat,lng
saint-paul-les-dax,,56,1021.0,,20.29,21.11,19.44,,,1.5,43.88727350555948,-1.1484658823014513
dunedin,,62,1010.0,,12.78,12.78,12.78,70.0,2.24,1.34,-53.399913875899685,176.49263902628388
bethel,,93,1026.0,,2.02,3.0,1.0,130.0,,3.6,51.928679438692285,-166.86011970324225
cayenne,,62,1012.0,,32.0,32.0,32.0,88.466,,4.18,17.208132749822937,-43.52692733613864
punta arenas,,93,991.0,,1.89,2.0,1.67,260.0,,12.9,-67.15270254735606,-109.46399521460913
esperance,,87,1029.0,,9.0,9.0,9.0,70.0,,3.6,-34.45433489298342,123.2227036938142
itoman,,74,1016.0,,23.88,26.0,22.0,20.0,,4.1,21.795501781807616,128.6378016763905
port alfred,,95,1013.0,,17.22,17.22,17.22,264.0,7.6,3.58,-87.74072297185383,41.78842715505314
jamestown,984.49,95,1021.62,1021.62,6.65,6.65,6.65,241.94,,4.44,-36.20411491825682,-11.789214508525987
graaff-reinet,936.57,29,1013.3,1013.3,22.45,22.45,22.45,218.712,,5.62,-32.262320152512544,24.008777855013932
cape town,,60,1016.0,,19.73,21.11,18.33,290.0,,7.7,-43.23805625866707,8.246862228760364
maceio,,55,1016.0,,30.0,30.0,30.0,70.0,,6.7,-13.777608945009788,-30.734950975842565
hithadhoo,1011.21,77,1011.38,1011.38,28.05,28.05,28.05,109.72,,6.78,-4.953105322887112,73.69580771710434
rikitea,1013.81,88,1013.76,1013.76,22.55,22.55,22.55,358.148,,6.72,-83.81126294169127,-129.05333475181646
port elizabeth,,60,1022.0,,24.02,26.11,21.67,,,3.1,-89.10848018690577,39.50901043296466
acapulco,,83,1010.0,,27.0,27.0,27.0,360.0,,2.1,9.388917951793871,-102.37344285706115
korsor,,56,1019.0,,8.1,8.89,7.0,320.0,,4.1,55.314808609767255,11.039203406223095
tigil,1004.03,82,1011.68,1011.68,-0.16,-0.16,-0.16,253.955,,6.47,58.97603306391164,156.19547374496386
kentau,959.66,36,1013.53,1013.53,18.95,18.95,18.95,7.327,,5.36,44.07388433973034,68.5174069455727
pasighat,927.61,92,1016.58,1016.58,20.75,20.75,20.75,358.932,,0.91,27.854716600777266,95.34868458812343
saldanha,956.75,20,1018.55,1018.55,26.85,26.85,26.85,270.676,,1.02,-36.77967519922015,4.814973916691031
karratha,1002.24,42,1012.81,1012.81,24.95,24.95,24.95,214.816,,3.88,-19.130613830089885,111.83276102835976
hasaki,,100,1017.0,,18.54,19.0,18.0,10.0,,4.6,26.33400326956628,156.08872645404153
vung tau,1010.0,83,1011.2,1011.2,26.95,26.95,26.95,93.18,,5.19,9.07947155389553,107.35088012975098
